% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
100.00%,0.573869347,0.00%,0.148743719,0.277386935,90.40%,0.00%,9.60%,0.00%,12319,41,Cluster 2,74.25203989,48.95738894,38.5421035,38.5421035,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,571,Pakistan,Rajanpur,74.07071623,24,43.43552587,2.59%,13.8712602,62.5,38.5421035,9.07,54.7,43.43552587,0.00%,1,0.860726644,995,0.139273356,161,3.70%,1103618,148,276,Punjab,18,57.33454216,5379,75.52130553,1156,2013
66.17%,0.941035857,33.83%,0.014342629,0.044621514,87.20%,0.00%,12.80%,0.00%,5286,41,Cluster 2,79.3911007,54.62529274,83.83460866,83.83460866,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,1181,Pakistan,Rawalpindi,68.44262295,24,80.8857355,2.59%,53.98126464,98.33333333,83.83460866,9.07,62.975,80.8857355,0.00%,1,0.635121457,1255,0.364878543,721,3.70%,3363911,18,56,Punjab,78.4,67.17798595,5379,79.44964871,1976,2013
60.85%,0.888268156,39.15%,0.018156425,0.093575419,90.27%,0.00%,9.73%,0.00%,3201,41,Cluster 2,84.04669261,64.98054475,89.15156846,89.15156846,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,636,Pakistan,Sahiwal,97.66536965,24,67.73372545,2.59%,85.73281453,85.83333333,89.15156846,9.07,48.75,67.73372545,0.00%,1,0.59517872,716,0.40482128,487,3.70%,1843194,13,67,Punjab,47.2,82.77561608,5379,81.45265889,1203,2013
59.24%,0.843562874,40.76%,0.046407186,0.11002994,92.86%,0.00%,7.14%,0.00%,5854,41,Cluster 2,79.70353478,43.67160775,90.7598598,90.7598598,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,1127,Pakistan,Sargodha,95.89509692,24,67.09829828,2.59%,62.25769669,85.83333333,90.7598598,9.07,50.6,67.09829828,0.00%,1,0.658128079,1336,0.341871921,694,3.70%,2665979,62,147,Punjab,41.2,72.02964652,5379,78.62029647,2030,2013
59.24%,0.768796992,40.76%,0.073308271,0.157894737,94.14%,0.00%,5.86%,0.00%,15960,41,Cluster 2,82.90676417,60.32906764,90.75511774,90.75511774,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,818,Pakistan,Sheikhupura,90.40219378,24,73.9366961,2.59%,51.2797075,86.66666667,90.75511774,9.07,64.325,73.9366961,0.00%,1,0.741980474,1064,0.258019526,370,3.70%,2321029,78,168,Punjab,54,73.58318099,5379,82.99817185,1434,2013
61.42%,0.813387424,38.58%,0.07775524,0.108857336,97.00%,0.00%,3.00%,0.00%,3016,41,Cluster 2,82.06577595,55.75539568,88.580272,88.580272,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,1203,Pakistan,Sialkot,89.4655704,24,81.99923467,2.59%,74.6659815,96.66666667,88.580272,9.07,60.35,81.99923467,0.00%,1,0.738392411,1479,0.261607589,524,3.70%,1688823,115,161,Punjab,82.4,75.69373073,5379,76.51593011,2003,2013
58.36%,0.934722222,41.64%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,3252,41,Cluster 2,79.84749455,74.50980392,91.63646244,91.63646244,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,673,Pakistan,Toba Tek Singh,94.88017429,24,76.26119894,2.59%,85.07625272,93.33333333,91.63646244,9.07,68.475,76.26119894,0.00%,1,0.596520298,720,0.403479702,487,3.70%,1621593,16,31,Punjab,51.6,84.55337691,5379,88.45315904,1207,2013
63.37%,0.843570058,36.63%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,4364,41,Cluster 2,90.05998286,73.4361611,86.62918826,86.62918826,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Punjab,Gender parity score,879,Pakistan,Vehari,97.51499572,24,64.07396373,2.59%,87.66066838,76.66666667,86.62918826,9.07,59.4,64.07396373,0.00%,1,0.692358804,1042,0.307641196,463,3.70%,2090416,27,136,Punjab,33.6,88.05484147,5379,91.60239931,1505,2013
86.84%,0.051148225,13.16%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,6726,41,Cluster 1,44.3545669,28.85069093,63.15609549,63.15609549,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,147,Pakistan,Badin,39.06302663,24,45.48902387,2.59%,5.257836198,52.5,63.15609549,9.07,39.5,45.48902387,28.18%,1,0.941677588,2874,0.058322412,178,3.70%,1136044,804,1923,Sindh,26.8,34.06134142,5379,52.78058645,3052,2013
100.00%,0.500508647,0.00%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,19070,41,Cluster 1,53.39321357,15.81836327,46.94482245,46.94482245,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,984,Pakistan,Dadu,39.92015968,24,51.89453895,2.59%,12.7744511,70.83333333,46.94482245,9.07,44.6,51.89453895,21.05%,1,0.933966746,1966,0.066033254,139,3.70%,1688811,237,745,Sindh,45.2,35.20958084,5379,54.14171657,2105,2013
100.00%,0.34609076,0.00%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,6083,41,Cluster 1,54.18006431,22.07931404,49.91763909,49.91763909,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,633,Pakistan,Ghotki,58.78885316,24,48.28149311,2.59%,12.70096463,58.33333333,49.91763909,9.07,40.475,48.28149311,16.84%,1,0.933163265,1829,0.066836735,131,3.70%,970549,232,964,Sindh,44.4,40.60021436,5379,55.25187567,1960,2013
69.99%,0.447187929,30.01%,0.24691358,0.305898491,47.44%,11.26%,24.46%,12.40%,5519,41,Cluster 2,80.53097345,42.1460177,80.00852093,80.00852093,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,326,Pakistan,Hyderabad,65.15486726,24,55.67608857,2.59%,51.10619469,63.33333333,80.00852093,9.07,39.3625,55.67608857,4.44%,1,0.829351536,729,0.170648464,150,3.70%,1565000,180,223,Sindh,40,64.71238938,5379,84.62389381,879,2013
92.43%,0.320541761,7.57%,0.25131678,0.42814146,12.15%,19.58%,19.93%,18.40%,5278,41,Cluster 1,38.11813187,5.700549451,57.56603029,57.56603029,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,426,Pakistan,Jacobabad,27.74725275,24,46.42484091,2.59%,10.43956044,55.83333333,57.56603029,9.07,20.7,46.42484091,29.93%,1,0.922916667,1329,0.077083333,111,3.70%,1425572,334,569,Sindh,51.6,23.81868132,5379,37.08791209,1440,2013
85.94%,0.298737728,14.06%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,0,41,Cluster 1,81.58536585,11.70731707,64.06331458,64.06331458,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,213,Pakistan,Jamshoro,42.80487805,24,47.45957865,2.59%,30.97560976,57.5,64.06331458,9.07,30.675,47.45957865,11.69%,1,0.905972046,713,0.094027954,74,3.70%,0,223,277,Sindh,37.6,47.85365854,5379,72.19512195,787,2013
90.24%,0.459102902,9.76%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,0,41,Cluster 1,62.15012723,13.16793893,59.76472774,59.76472774,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,696,Pakistan,Kambar-Shahdadkot,47.64631043,24,46.79326527,2.59%,26.78117048,55.83333333,59.76472774,9.07,37.575,46.79326527,24.65%,1,0.92949111,1516,0.07050889,115,3.70%,0,253,567,Sindh,34,42.09923664,5379,60.75063613,1631,2013
65.89%,0.700232019,34.11%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,3527,41,Cluster 2,84.18972332,39.28853755,84.11094682,84.11094682,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,1509,Pakistan,Karachi,63.08300395,24,63.40273671,2.59%,63.00395257,82.5,84.11094682,9.07,48.6,63.40273671,3.94%,1,0.695834679,2155,0.304165321,942,3.70%,13215631,230,416,Sindh,38.4,65.24901186,5379,76.6798419,3097,2013
97.22%,0.411342426,2.78%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,2592,41,Cluster 1,29.37456079,7.940969782,52.77901399,52.77901399,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,573,Pakistan,Kashmore-Kandhkot,45.95924104,24,48.26767017,2.59%,3.794799719,56.66666667,52.77901399,9.07,34.425,48.26767017,40.74%,1,0.931772575,1393,0.068227425,102,3.70%,662462,189,631,Sindh,49.2,22.93745608,5379,27.61770907,1495,2013
91.11%,0.114303959,8.89%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,15910,41,Cluster 1,53.05637982,31.48367953,58.89169672,58.89169672,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,358,Pakistan,Khairpur,71.63204748,24,55.11875751,2.59%,34.80712166,73.33333333,58.89169672,9.07,38.25,55.11875751,11.16%,1,0.905202312,3132,0.094797688,328,3.70%,1546587,1113,1661,Sindh,50,51.21661721,5379,65.10385757,3460,2013
86.32%,0.617248062,13.68%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,7423,41,Cluster 2,81.84791496,24.93867539,63.68416993,63.68416993,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,637,Pakistan,Larkana,76.53311529,24,53.59395915,2.59%,64.10466067,64.16666667,63.68416993,9.07,36.525,53.59395915,6.51%,1,0.883561644,1032,0.116438356,136,3.70%,1927066,91,304,Sindh,50,65.78904334,5379,81.52085037,1168,2013
88.43%,0.005834306,11.57%,0.25633232,0.403733956,45.46%,8.10%,20.19%,16.41%,1417,41,Cluster 2,76.2407603,29.14466737,61.57106465,61.57106465,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,5,Pakistan,Matiari,67.37064414,24,44.2448495,2.59%,57.97254488,63.33333333,61.57106465,9.07,24.075,44.2448495,9.83%,1,0.925485961,857,0.074514039,69,3.70%,515331,506,346,Sindh,28,62.40760296,5379,81.3093981,926,2013
88.09%,0.332320162,11.91%,0.301050175,0.53698075,13.20%,16.71%,14.77%,20.82%,2925,41,Cluster 1,42.23088164,23.62396493,61.91074508,61.91074508,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,656,Pakistan,Mirpurkhas,40.67218704,24,46.84018627,2.59%,16.22016561,67.5,61.91074508,9.07,35.95,46.84018627,34.49%,1,0.911357341,1974,0.088642659,192,3.70%,1569030,258,1060,Sindh,22,34.0185095,5379,47.34534827,2166,2013
89.52%,0.444286392,10.48%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,2945,41,Cluster 1,53.06030603,23.08730873,60.48459213,60.48459213,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,937,Pakistan,Naushehro Feroze,70.56705671,24,53.8315647,2.59%,36.27362736,64.16666667,60.48459213,9.07,48.675,53.8315647,10.55%,1,0.904373928,2109,0.095626072,223,3.70%,1087571,298,874,Sindh,42,48.86588659,5379,61.34113411,2332,2013
89.94%,0.333900613,10.06%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,10720,41,Cluster 1,50.77703774,24.83349191,60.05572447,60.05572447,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,981,Pakistan,Sanghar,43.51411354,24,49.34518112,2.59%,100,67.5,60.05572447,9.07,37.025,49.34518112,28.10%,1,0.940460948,2938,0.059539052,186,3.70%,1453028,620,1337,Sindh,32.8,54.29749445,5379,52.36282905,3124,2013
93.73%,0.308236273,6.27%,0.210347175,0.43469218,40.56%,13.48%,18.77%,15.54%,4502,41,Cluster 1,53.80989788,32.28593873,56.2724821,56.2724821,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,741,Pakistan,Shaheed Benazirabad,57.22702278,24,51.43270386,2.59%,22.93794187,65.83333333,56.2724821,9.07,36.025,51.43270386,11.65%,1,0.915460777,2404,0.084539223,222,3.70%,1071533,618,1045,Sindh,47.6,43.75490966,5379,52.51374705,2626,2013
90.52%,0.628303495,9.48%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,0,41,Cluster 1,63.69426752,13.61464968,59.47811777,59.47811777,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,737,Pakistan,Shikarpur,63.45541401,24,49.50286278,2.59%,26.19426752,60.83333333,59.47811777,9.07,37.7,49.50286278,15.08%,1,0.902307692,1173,0.097692308,127,3.70%,0,170,266,Sindh,40,46.38535032,5379,64.96815287,1300,2013
90.64%,0.273636364,9.36%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,2512,41,Cluster 2,61.28769356,24.28687857,59.35651304,59.35651304,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,301,Pakistan,Sukkur,73.75713121,24,50.02037826,2.59%,46.21026895,67.5,59.35651304,9.07,41.625,50.02037826,8.87%,1,0.879296563,1100,0.120703437,151,3.70%,890438,284,515,Sindh,31.6,56.1206194,5379,75.06112469,1251,2013
96.13%,0.214285714,3.87%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,5165,41,Cluster 2,72.99741602,33.20413437,53.87336245,53.87336245,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,159,Pakistan,Tando Allah Yar,56.84754522,24,40.42042395,2.59%,40.18087855,53.33333333,53.87336245,9.07,30.475,40.42042395,11.31%,1,0.89290012,742,0.10709988,89,3.70%,908373,160,423,Sindh,24,55.50387597,5379,74.28940569,831,2013
93.37%,0,6.63%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,2310,41,Cluster 1,50.81135903,30.93306288,56.63315287,56.63315287,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,0,Pakistan,Tando Muhammad Khan,56.18661258,24,38.51,2.59%,10.7505071,45.83333333,56.63315287,9.07,31.175,38.51,18.78%,1,0.934119961,950,0.065880039,67,3.70%,550000,418,706,Sindh,20.4,40.14198783,5379,52.02839757,1017,2013
81.44%,0.024200054,18.56%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,19638,41,Cluster 1,35.42473535,29.5120062,68.55546306,68.55546306,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,90,Pakistan,Tharparkar,29.82184353,24,49.44511576,2.59%,1.290988897,72.5,68.55546306,9.07,24.325,49.44511576,52.89%,1,0.927894212,3719,0.072105788,289,3.70%,955812,1553,2076,Sindh,32.4,26.48076427,5379,36.35424735,4008,2013
86.71%,0.018284107,13.29%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,19638,41,Cluster 1,27.5142315,14.86401012,63.29252293,63.29252293,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,26,Pakistan,Thatta,18.56419987,24,39.17521407,2.59%,2.024035421,50.83333333,63.29252293,9.07,27.375,39.17521407,44.42%,1,0.938613861,1422,0.061386139,93,3.70%,914291,732,664,Sindh,15.2,18.77292853,5379,30.89816572,1515,2013
91.89%,0.089423077,8.11%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,17355,41,Cluster 1,49.45155393,34.09506399,58.1087108,58.1087108,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Sindh,Gender parity score,186,Pakistan,Umerkot,30.39305302,24,49.30634437,2.59%,15.26508227,74.16666667,58.1087108,9.07,37.75,49.30634437,28.08%,1,0.9344115,2080,0.0655885,146,3.70%,1113194,683,1211,Sindh,27.2,37.58683729,5379,58.72943327,2226,2013
63.49%,0.936599424,36.52%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,768,27,Cluster 1,17.79036827,31.575,86.515,86.515,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,325,Pakistan,Bagh,36.93909348,19,80.745,2.62%,20.88243626,89.38,86.515,9.37,82.7,80.745,17.06%,1,0.577371048,347,0.422628952,254,4.10%,351415,12,10,AJK,64.38,30.075,5496,43.19688385,601,2014
71.06%,0.594202899,28.94%,0.359903382,0.04589372,15.25%,20.21%,17.38%,15.43%,1516,27,Cluster 1,36.14236902,53.62,78.94,78.94,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,246,Pakistan,Bhimber,56.261959,19,79.35,2.62%,51.68109339,88.685,78.94,9.37,63.07,79.35,31.74%,1,0.695798319,414,0.304201681,181,4.10%,301633,149,19,AJK,86.705,47.31,5496,38.86446469,595,2014
56.31%,0.9390681,43.69%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,,27,Cluster 1,15.51459854,15.755,93.69,93.69,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,262,Pakistan,Hattian,42.89051095,19,80.44,2.62%,20.33211679,86.915,93.69,9.37,77.665,80.44,53.74%,1,0.736147757,279,0.263852243,100,4.10%,,6,11,AJK,63.48,28.85,5496,49.76277372,379,2014
55.46%,0.827225131,44.55%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,600,27,Cluster 1,5.612903226,10.355,94.545,94.545,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,158,Pakistan,Haveli,39.97849462,19,79.545,2.62%,7.806451613,89.39,94.545,9.37,65.135,79.545,56.69%,1,0.729007634,191,0.270992366,71,4.10%,150000,8,25,AJK,69.105,19.485,5496,33.67204301,262,2014
52.31%,0.592348285,47.70%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,2162,27,Cluster 1,19.21049137,59.03,97.695,97.695,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,449,Pakistan,Kotli,36.63213811,19,79.925,2.62%,38.24568393,62.955,97.695,9.37,76.49,79.925,46.44%,1,0.731660232,758,0.268339768,278,4.10%,834094,263,46,AJK,82.555,36.525,5496,29.50332005,1036,2014
61.56%,0.582191781,38.44%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,2310,27,Cluster 2,72.88235294,68.925,88.44,88.44,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,255,Pakistan,Mirpur,66.43627451,19,74.02,2.62%,73.6127451,79.48,88.44,9.37,67.315,74.02,1.28%,1,0.706451613,438,0.293548387,182,4.10%,754482,76,107,AJK,60.845,67.875,5496,57.53431373,620,2014
72.84%,0.940717629,27.17%,0.026521061,0.03276131,9.90%,10.83%,18.86%,24.33%,2496,27,Cluster 1,17.77672956,29.705,77.165,77.165,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,603,Pakistan,Muzaffarabad,38.55974843,19,65.69,2.62%,18.27358491,60.01,77.165,9.37,72.6,65.69,36.09%,1,0.718609865,641,0.281390135,251,4.10%,638973,17,21,AJK,52.98,29.33,5496,42.33333333,892,2014
64.84%,0.737327189,35.17%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,,27,Cluster 1,18.74418605,44.575,85.165,85.165,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,160,Pakistan,Neelum,45.3255814,19,71.5,2.62%,17.8255814,46.425,85.165,9.37,79.315,71.5,35.92%,1,0.777777778,217,0.222222222,62,4.10%,,40,17,AJK,75.1,35.675,5496,51.89534884,279,2014
53.77%,0.846975089,46.24%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,855,27,Cluster 1,7.220248668,30.59,96.235,96.235,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,476,Pakistan,Poonch,23.97335702,19,74.345,2.62%,17.21047957,48.415,96.235,9.37,71.665,74.345,47.43%,1,0.679564692,562,0.320435308,265,4.10%,411035,63,23,AJK,81.055,20.725,5496,24.63765542,827,2014
59.77%,0.707042254,40.24%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,569,27,Cluster 1,8.5625,72.075,90.235,90.235,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",AJK,Gender parity score,251,Pakistan,Sudhnutti,21.90340909,19,71.08,2.62%,22.06818182,51.7,90.235,9.37,60.735,71.08,50.16%,1,0.718623482,355,0.281376518,139,4.10%,204091,80,24,AJK,81.655,30.675,5496,28.76136364,494,2014
73.77%,0.239631336,26.23%,0.188940092,0.571428571,35.94%,0.46%,54.38%,9.22%,12510,27,Cluster 1,40.7195122,45.60747573,76.23,76.23,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,52,Pakistan,Awaran,74.04878049,19,46.345,2.62%,6.182926829,36.845,76.23,9.37,45,46.345,0.00%,1,0.812734082,217,0.187265918,50,4.10%,118173,41,124,Balochistan,49.81,38.3,5496,24.93902439,267,2014
85.83%,0,14.18%,0.394316163,0.811722913,3.24%,31.57%,16.72%,48.46%,3514,27,Cluster 1,12.113879,16.98702128,64.175,64.175,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,0,Pakistan,Barkhan,27.15836299,19,52.35,2.62%,14.9911032,45.675,64.175,9.37,45.64,52.35,0.00%,1,0.924466338,563,0.075533662,46,4.10%,103545,222,457,Balochistan,53.91,14.77,5496,2.588967972,609,2014
63.43%,0.342723005,36.57%,0.122065728,0.535211268,22.95%,2.46%,43.85%,30.74%,44748,27,Cluster 1,57.6969697,17.1507513,86.57,86.57,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,73,Pakistan,Chaghi,71.08080808,19,55.98,2.62%,16.01515152,29.575,86.57,9.37,44.74,55.98,0.00%,1,0.825581395,213,0.174418605,45,4.10%,300000,26,114,Balochistan,63.025,44.28,5496,59.43434343,258,2014
94.31%,0.612244898,5.69%,0.227891156,0.159863946,22.22%,3.82%,51.04%,22.92%,10160,27,Cluster 1,24.23476703,35.58785714,55.695,55.695,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,180,Pakistan,Dera Bugti,55.47670251,19,30.905,2.62%,11.65053763,8.825,55.695,9.37,27.795,30.905,0.00%,1,0.825842697,294,0.174157303,62,4.10%,181310,67,47,Balochistan,31.295,27.47,5496,10.39605735,356,2014
55.99%,0.244239631,44.02%,0.230414747,0.525345622,44.58%,1.61%,31.73%,22.09%,12637,27,Cluster 1,65.42682927,19.52830049,94.015,94.015,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,53,Pakistan,Gwadar,46.53658537,19,75.24,2.62%,48.64634146,61.925,94.015,9.37,76.68,75.24,0.00%,1,0.794871795,217,0.205128205,56,4.10%,185498,50,114,Balochistan,68.325,50.245,5496,71.07317073,273,2014
93.15%,0.280821918,6.85%,0.143835616,0.575342466,12.05%,11.45%,39.16%,37.35%,4096,27,Cluster 2,70.03521127,55.6360274,56.85,56.85,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,41,Pakistan,Harnai,64.28169014,19,61.705,2.62%,43.82394366,69.04,56.85,9.37,62.625,61.705,0.00%,1,0.863905325,146,0.136094675,23,4.10%,140000,21,84,Balochistan,58.3,58.525,5496,58.86619718,169,2014
67.15%,0.142857143,32.85%,0.187122736,0.670020121,12.41%,20.11%,28.20%,39.29%,2445,27,Cluster 1,39.12274368,22.63736264,82.85,82.85,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,71,Pakistan,Jaffarabad,66.88929001,19,61.31,2.62%,44.63537906,40.915,82.85,9.37,58.305,61.31,0.00%,1,0.878091873,497,0.121908127,69,4.10%,432817,93,333,Balochistan,63.175,41.09,5496,32.17027678,566,2014
75.54%,0.194331984,24.46%,0.198380567,0.607287449,10.68%,22.06%,27.40%,39.86%,3615,27,Cluster 1,41.40598291,6.000172414,74.46,74.46,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,48,Pakistan,Jhal Magsi,59.26923077,19,67.845,2.62%,28.56837607,48.61,74.46,9.37,73,67.845,0.00%,1,0.831649832,247,0.168350168,50,4.10%,109941,49,150,Balochistan,75.32,30.65,5496,17.9957265,297,2014
80.67%,0.225063939,19.33%,0.350383632,0.42455243,40.07%,5.05%,47.29%,7.58%,7499,27,Cluster 1,48.17582418,16.0279558,69.33,69.33,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,88,Pakistan,Kachhi,36.51098901,19,56.84,2.62%,33.98351648,41.695,69.33,9.37,69.69,56.84,0.00%,1,0.863134658,391,0.136865342,62,4.10%,288056,137,166,Balochistan,46.645,31.685,5496,23.74725275,453,2014
69.97%,0.228070175,30.04%,0.280701754,0.49122807,26.71%,10.87%,34.75%,27.66%,6622,27,Cluster 1,65.43324251,12.38040541,80.035,80.035,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,91,Pakistan,Kalat,46.66212534,19,56.845,2.62%,21.3147139,46.51,80.035,9.37,45.68,56.845,0.00%,1,0.836477987,399,0.163522013,78,4.10%,237834,112,196,Balochistan,55.14,38.99,5496,49.16893733,477,2014
66.03%,0.442913386,33.98%,0.206692913,0.350393701,57.11%,1.26%,37.03%,4.60%,22539,27,Cluster 1,49.02972399,23.43144068,83.975,83.975,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,225,Pakistan,Kech,53.25902336,19,59.34,2.62%,37.91719745,53.415,83.975,9.37,34.225,59.34,0.00%,1,0.765060241,508,0.234939759,156,4.10%,413204,105,178,Balochistan,65.76,43.505,5496,53.89278132,664,2014
60.20%,0.054644809,39.81%,0.295081967,0.650273224,68.20%,0.00%,29.95%,1.84%,8958,27,Cluster 1,42.20930233,12.78409091,89.805,89.805,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,10,Pakistan,Kharan,44.13953488,19,71.23,2.62%,28.11627907,58.845,89.805,9.37,74.105,71.23,0.00%,1,0.788793103,183,0.211206897,49,4.10%,132500,54,119,Balochistan,62.175,33.23,5496,38.89534884,232,2014
68.96%,0.321711569,31.04%,0.17274168,0.505546751,24.20%,7.78%,36.55%,31.47%,35380,27,Cluster 1,60.72486773,35.04921053,81.04,81.04,Year on Year Change,What are these scores? How they are Derived?,"5,496.00",Balochistan,Gender parity score,203,Pakistan,Khuzdar,57.72045855,19,66.545,2.62%,30.02645503,82.07,81.04,9.37,58.81,66.545,0.00%,1,0.869146006,631,0.130853994,95,4.10%,417466,109,319,Balochistan,44.25,46.085,5496,46.90476191,726,2014
